Scenario,Protocol,Xm,Ym,Nodes,Shape,Sink,FND,HND,AND,Packets_BS,Alive_Final,Residual_Energy
100x100_100n_square_center,LEACH,100,100,100,square,center,346.8,1068.6,1417.6,5294.4,0,0
100x100_100n_square_center,EDD_LEACH,100,100,100,square,center,344.6,1060.4,1424.6,5329,0,0.000316996480627842
100x100_100n_square_center,AERT_UC,100,100,100,square,center,1131.6,2416.4,4448.2,10134.8,1,0.153802465914857
100x100_100n_circle_center,LEACH,100,100,100,circle,center,357.2,1103.2,1490.4,5479.2,0,0
100x100_100n_circle_center,EDD_LEACH,100,100,100,circle,center,367.6,1099.6,1475.8,5504.8,0,0.000257513161208257
100x100_100n_circle_center,AERT_UC,100,100,100,circle,center,1123.2,2297,4404.4,10311.8,1.2,0.153107496739415
100x100_100n_triangle_center,LEACH,100,100,100,triangle,center,362.8,1137.8,1537.8,5706.8,0,0
100x100_100n_triangle_center,EDD_LEACH,100,100,100,triangle,center,364.2,1119,1557.2,5769.4,0,0.000282334839338873
100x100_100n_triangle_center,AERT_UC,100,100,100,triangle,center,1103,2217.6,4288.8,10524.8,0.8,0.15236817990774
100x100_100n_mixed_center,LEACH,100,100,100,mixed,center,353.4,1089.2,1467.4,5379.2,0,0
100x100_100n_mixed_center,EDD_LEACH,100,100,100,mixed,center,352.4,1089.8,1434.8,5408.2,0,0.000243097482927131
100x100_100n_mixed_center,AERT_UC,100,100,100,mixed,center,1146,2563.8,4417.6,10119.4,1.4,0.154458150374885
300x300_100n_square_center,LEACH,300,300,100,square,center,50.2,182,797,2075.2,0,0
300x300_100n_square_center,EDD_LEACH,300,300,100,square,center,49.4,160.4,731.8,1765,0,0.000164115843737512
300x300_100n_square_center,AERT_UC,300,300,100,square,center,225,814.2,3902.2,5832.8,0.4,0.316479913817652
300x300_100n_circle_center,LEACH,300,300,100,circle,center,90,238.4,819.6,2213.8,0,0
300x300_100n_circle_center,EDD_LEACH,300,300,100,circle,center,92,259.2,854.4,2466,0,0.000148253929406446
300x300_100n_circle_center,AERT_UC,300,300,100,circle,center,420.8,1019,3057.2,6575.4,0,0.32247625258331
300x300_100n_triangle_center,LEACH,300,300,100,triangle,center,88,411.8,959.2,2843.6,0,0
300x300_100n_triangle_center,EDD_LEACH,300,300,100,triangle,center,76.8,388,923.4,2711.2,0,0.00021033398208254
300x300_100n_triangle_center,AERT_UC,300,300,100,triangle,center,356.2,1229.8,3542.2,7427.4,0.2,0.327696766672572
300x300_100n_mixed_center,LEACH,300,300,100,mixed,center,55.8,218,818.6,2223.8,0,0
300x300_100n_mixed_center,EDD_LEACH,300,300,100,mixed,center,55.2,208.2,849.4,2091.8,0,0.000164512712157622
300x300_100n_mixed_center,AERT_UC,300,300,100,mixed,center,266,849,3684.4,6008.2,0.2,0.317710200602297
