Sink,Protocol,GroupCount,mean_FND,mean_HND,mean_AND,mean_Packets_BS,mean_Alive_Final,mean_Residual_Energy
center,AERT_UC,24,815.091666666667,1806.60833333333,4105.225,13673.3583333333,0.741666666666667,0.338876696013372
center,EDD_LEACH,24,174.175,651.391666666667,1181.86666666667,5438.575,0,0.000340176727423949
center,LEACH,24,175.975,647.666666666667,1169.5,5419.68333333333,0,0
corner,AERT_UC,24,591.533333333333,1692.625,4132.83333333333,12255.9,1.26666666666667,0.334391147915775
corner,EDD_LEACH,24,160.533333333333,565.616666666666,988.075,4637.46666666667,0,0.000274850198536137
corner,LEACH,24,157.308333333333,567.841666666667,982.858333333333,4636.83333333333,0,0
edge-bottom,AERT_UC,24,641.808333333333,1710.36666666667,4154.79166666667,12779.675,0.791666666666667,0.333899090409198
edge-bottom,EDD_LEACH,24,171.525,627.083333333333,1119.28333333333,5205.325,0,0.000317019049392633
edge-bottom,LEACH,24,172.341666666667,631.808333333333,1124.275,5218.89166666667,0,0
edge-left,AERT_UC,24,684.9,1742.84166666667,4142.04166666667,12886.2416666667,0.758333333333333,0.335903077569195
edge-left,EDD_LEACH,24,170.15,622.408333333333,1096.65,5135.29166666667,0,0.000311479303191122
edge-left,LEACH,24,171.333333333333,623.341666666667,1100.15833333333,5142.025,0,0
edge-right,AERT_UC,24,643.308333333333,1736.45,4102.79166666667,12821.075,0.916666666666667,0.334983661057006
edge-right,EDD_LEACH,24,170.466666666667,621.375,1106.7,5141.18333333333,0,0.000308750930071172
edge-right,LEACH,24,170.875,614.475,1095.81666666667,5097.30833333333,0,0
edge-top,AERT_UC,24,620.508333333333,1704.16666666667,4131.74166666667,12510.3583333333,0.975,0.333880339474193
edge-top,EDD_LEACH,24,169.85,603.533333333333,1083.06666666667,5027.58333333333,0,0.000285285609094069
edge-top,LEACH,24,169.425,602.841666666667,1082.99166666667,5006.05833333333,0,0
outside-top,AERT_UC,24,484.766666666667,1589.375,4194.825,11662.4833333333,2.325,0.332182190683483
outside-top,EDD_LEACH,24,137.666666666667,477.416666666667,814.358333333333,3820.30833333333,0,0.000201147814518419
outside-top,LEACH,24,138.108333333333,477.391666666667,822.866666666666,3848.40833333333,0,0
