Shape,Protocol,GroupCount,mean_FND,mean_HND,mean_AND,mean_Packets_BS,mean_Alive_Final,mean_Residual_Energy
circle,AERT_UC,42,656.304761904762,1731.02380952381,4112.70952380952,12819.8714285714,0.880952380952381,0.335445506219097
circle,EDD_LEACH,42,177.633333333333,603.638095238095,1064.28571428571,4994.81428571428,0,0.000300395564103146
circle,LEACH,42,178.771428571429,602.414285714286,1060.77142857143,4982.92857142857,0,0
mixed,AERT_UC,42,640.704761904762,1701.82857142857,4162.54761904762,12419.7428571429,1.17142857142857,0.334384414165751
mixed,EDD_LEACH,42,156.557142857143,575.795238095238,1041.32857142857,4790.79523809524,0,0.000290079848187716
mixed,LEACH,42,157.142857142857,574.319047619048,1044.18571428571,4788.00952380952,0,0
square,AERT_UC,42,606.628571428572,1603.74761904762,4121.84285714286,11885.919047619,0.9,0.330068863520826
square,EDD_LEACH,42,148.538095238095,531.904761904762,1002.14761904762,4519.75714285714,0,0.000271934338149294
square,LEACH,42,148.119047619048,532.890476190476,1000.99047619048,4523.18095238095,0,0
triangle,AERT_UC,42,657.457142857143,1810.50476190476,4153.9,13496.8047619048,1.49047619047619,0.339596189307023
triangle,EDD_LEACH,42,176.909523809524,670.847619047619,1115.09523809524,5355.05238095238,0,0.000302567182261273
triangle,LEACH,42,176.17619047619,670.585714285714,1110.31904761905,5345.42857142857,0,0
