Scenario,Shape,Sink,Xm,Ym,Nodes,AERT_FND,LEACH_FND,EDD_FND,AERT_vs_LEACH_FND_pct,AERT_vs_EDD_FND_pct,AERT_HND,LEACH_HND,EDD_HND,AERT_vs_LEACH_HND_pct,AERT_vs_EDD_HND_pct,AERT_AND,LEACH_AND,EDD_AND,AERT_vs_LEACH_AND_pct,AERT_vs_EDD_AND_pct,AERT_Packets_BS,LEACH_Packets_BS,EDD_Packets_BS,AERT_vs_LEACH_Packets_pct,AERT_vs_EDD_Packets_pct,AERT_Residual_Energy,LEACH_Residual_Energy,EDD_Residual_Energy
100x100_100n_square_center,square,center,100,100,100,1131.6,346.8,344.6,226.297577854671,228.380731282647,2416.4,1068.6,1060.4,126.127643645892,127.876273104489,4448.2,1417.6,1424.6,213.783860045147,212.242032851327,10134.8,5294.4,5329,91.424901783016,90.182022893601,0.153802465914857,0,0.000316996480627842
100x100_100n_square_edge-top,square,edge-top,100,100,100,1104.6,343.4,360.4,221.665695981363,206.492785793563,2323.4,1037.4,1063.2,123.963755542703,118.528969149737,4285.2,1415.8,1382.8,202.669868625512,209.892970783917,10036,5231.6,5276.4,91.8342380915972,90.2054431051475,0.153442792818186,0,0.000225340810787052
100x100_100n_square_edge-bottom,square,edge-bottom,100,100,100,1074.4,352.2,347.8,205.053946621238,208.913168487637,2232,1044.4,1034,113.711221754117,115.860735009671,4245.2,1349,1371.4,214.692364714603,209.552282339215,10040.6,5155,5198.6,94.7740058195926,93.1404608933174,0.152718882132761,0,0.000247685658622319
100x100_100n_square_edge-left,square,edge-left,100,100,100,1113,340.4,346.6,226.968272620447,221.119446047317,2566.6,1035.8,1030.6,147.789148484263,149.03939452746,4344.6,1385,1376.6,213.689530685921,215.603661194247,10056,5193.4,5175.4,93.6303770169831,94.3038219268076,0.154056653818139,0,0.000315600026651595
100x100_100n_square_edge-right,square,edge-right,100,100,100,1119,340,346.6,229.117647058824,222.850548182343,2349.4,1016.2,1022,131.194646723086,129.882583170254,4368.6,1395,1389.2,213.161290322581,214.468758997984,10044.6,5261.6,5231,90.9039075566368,92.0206461479641,0.153704007351836,0,0.000199217652440699
100x100_100n_square_corner,square,corner,100,100,100,1104,334.2,347.4,230.341113105925,217.789291882556,2324.6,1024.6,1001,126.878781963693,132.227772227772,4349.4,1366.2,1380,218.357487922705,215.173913043478,9971.8,5127.6,5053.2,94.4730478196427,97.3363413282672,0.153422910408855,0,0.000246579029277833
100x100_100n_square_outside-top,square,outside-top,100,100,100,1064.6,326.4,321.8,226.164215686275,230.826600372902,2362.2,949.8,939,148.704990524321,151.565495207668,4381,1297.2,1296.4,237.7274128893,237.935822277075,9962.2,4886.6,4818.2,103.867719887038,106.761861275995,0.153163239954218,0,0.000182787287209654
100x100_100n_circle_center,circle,center,100,100,100,1117,360,357,210.277777777778,212.885154061625,2309,1126.2,1110.2,105.02575031078,107.980544046118,4436.6,1466.2,1511.8,202.591733733461,193.464744013758,10325.2,5573.8,5479.8,85.2452545839463,88.4229351436184,0.153266692040715,0,0.00034246614239407
100x100_100n_circle_edge-top,circle,edge-top,100,100,100,1105,358.6,363.8,208.142777467931,203.738317757009,2353.2,1095.2,1118.4,114.864864864865,110.407725321888,4489.2,1449.4,1471.2,209.728163377949,205.138662316476,10196.4,5461.6,5621,86.6925443093599,81.3983276996976,0.15325613171984,0,0.000224144333822258
100x100_100n_circle_edge-bottom,circle,edge-bottom,100,100,100,1079.8,361.4,360.6,198.782512451577,199.445368829728,2351.8,1102.6,1096,113.295846181752,114.580291970803,4418.8,1483.4,1440.2,197.883241202643,206.818497430912,10270.2,5468.8,5447.6,87.7962258630778,88.5270577869153,0.152951037351825,0,0.000250419779221763
