Sink,Shape,GroupCount,AERT_vs_LEACH_Packets_pct
center,circle,6,178.777050183862
center,mixed,6,170.466019541565
center,square,6,193.350210735921
center,triangle,6,148.527607590854
corner,circle,6,202.056370241449
corner,mixed,6,201.551892033347
corner,square,6,192.313385960257
corner,triangle,6,214.233391089491
edge-bottom,circle,6,164.497335622559
edge-bottom,mixed,6,162.916102098439
edge-bottom,square,6,175.882145819755
edge-bottom,triangle,6,145.566720197802
edge-left,circle,6,169.611344754387
edge-left,mixed,6,174.554816219057
edge-left,square,6,184.037560159982
edge-left,triangle,6,168.546591756228
edge-right,circle,6,174.630079651308
edge-right,mixed,6,185.530819169645
edge-right,square,6,169.905396436742
edge-right,triangle,6,168.040356747693
edge-top,circle,6,174.102754054356
edge-top,mixed,6,178.879792536358
edge-top,square,6,183.465369907365
edge-top,triangle,6,158.820301307788
outside-top,circle,6,268.024487350686
outside-top,mixed,6,277.4676879298
outside-top,square,6,258.766615413397
outside-top,triangle,6,357.844600563939
