Sink,Shape,GroupCount,AERT_vs_EDD_Packets_pct
center,circle,6,182.79755828723
center,mixed,6,166.874398895629
center,square,6,187.779318255959
center,triangle,6,147.134874941191
corner,circle,6,200.217470403159
corner,mixed,6,200.270332382811
corner,square,6,200.758112397648
corner,triangle,6,214.422795761352
edge-bottom,circle,6,163.034588880696
edge-bottom,mixed,6,172.651425533667
edge-bottom,square,6,170.190538427036
edge-bottom,triangle,6,149.563918088184
edge-left,circle,6,166.328536930128
edge-left,mixed,6,176.790184168543
edge-left,square,6,189.581574163016
edge-left,triangle,6,171.341523034985
edge-right,circle,6,167.380163618696
edge-right,mixed,6,178.495001790398
edge-right,square,6,170.582531927227
edge-right,triangle,6,158.920604960759
edge-top,circle,6,173.599685278242
edge-top,mixed,6,170.494062214658
edge-top,square,6,181.323636687679
edge-top,triangle,6,163.487318429285
outside-top,circle,6,284.33128923118
outside-top,mixed,6,276.131457537657
outside-top,square,6,265.435633466717
outside-top,triangle,6,354.6638341086
