Sink,Shape,GroupCount,AERT_vs_LEACH_FND_pct
center,circle,6,422.684468720605
center,mixed,6,414.452753729061
center,square,6,391.238519772012
center,triangle,6,415.893269890577
corner,circle,6,246.285381457823
corner,mixed,6,314.969010949432
corner,square,6,279.974216668681
corner,triangle,6,318.879606492923
edge-bottom,circle,6,229.473743012853
edge-bottom,mixed,6,276.623825831185
edge-bottom,square,6,258.070231971162
edge-bottom,triangle,6,290.050692015715
edge-left,circle,6,263.383851062306
edge-left,mixed,6,323.60716702294
edge-left,square,6,318.840799826277
edge-left,triangle,6,328.916245197671
edge-right,circle,6,219.953706056754
edge-right,mixed,6,304.500788328257
edge-right,square,6,280.973424104813
edge-right,triangle,6,280.0113556243
edge-top,circle,6,234.210650494016
edge-top,mixed,6,292.621827994486
edge-top,square,6,266.022781212164
edge-top,triangle,6,240.796424249718
outside-top,circle,6,283.250590540831
outside-top,mixed,6,262.978340450826
outside-top,square,6,295.552505617289
outside-top,triangle,6,300.338028671111
