Sink,Shape,GroupCount,AERT_vs_LEACH_AND_pct
center,circle,6,256.546222881373
center,mixed,6,282.98337727783
center,square,6,291.194750219224
center,triangle,6,230.084488245418
corner,circle,6,362.451700252754
corner,mixed,6,373.432780986325
corner,square,6,360.792245786467
corner,triangle,6,417.990557967016
edge-bottom,circle,6,290.076223360086
edge-bottom,mixed,6,291.696122250048
edge-bottom,square,6,345.665610028493
edge-bottom,triangle,6,241.909299108423
edge-left,circle,6,295.278178508286
edge-left,mixed,6,318.423346457089
edge-left,square,6,328.463089508544
edge-left,triangle,6,278.387691318933
edge-right,circle,6,290.473013965725
edge-right,mixed,6,296.161870336599
edge-right,square,6,313.866011324859
edge-right,triangle,6,285.444941057233
edge-top,circle,6,313.059705871664
edge-top,mixed,6,308.876828545636
edge-top,square,6,336.209312165402
edge-top,triangle,6,284.118734538056
outside-top,circle,6,536.230230376449
outside-top,mixed,6,587.934419744247
outside-top,square,6,571.484248024268
outside-top,triangle,6,597.758815436407
